vehicle_id,ultimo_timestamp,ultima_latitud,ultima_longitud
239,2022-02-01 03:00:05,,
240,2022-01-18 11:21:50,,
241,2022-01-31 14:54:26,,
242,2022-01-31 13:41:59,,
243,2022-01-31 22:11:23,,
244,2022-01-31 22:31:09,,
245,2022-01-10 16:30:24,,
246,2022-02-01 00:01:08,,
247,2022-01-31 21:42:58,,
248,2022-01-31 12:50:27,,
249,2022-01-31 23:58:49,,
250,2022-01-31 19:05:18,,
252,2022-01-31 16:07:47,,
253,2022-01-24 13:01:29,,
254,2022-01-31 14:50:58,,
255,2022-01-31 22:59:16,,
256,2022-01-31 23:49:32,,
257,2022-01-31 07:44:37,,
258,2022-01-31 14:26:17,,
259,2022-01-31 08:43:09,,
260,2022-01-31 21:34:45,,
261,2022-02-01 00:01:20,,
262,2022-02-01 03:30:04,,
263,2022-01-31 23:57:47,,
264,2022-01-31 23:57:39,,
265,2022-01-31 23:12:12,,
